title,genres,vote_average
Screamers,"['Horror', 'Science Fiction']",6.1
The Crossing Guard,"['Drama', 'Thriller']",6.1
The Juror,"['Drama', 'Thriller']",5.5
Things to Do in Denver When You're Dead,"['Drama', 'Crime']",6.7
Antonia's Line,"['Drama', 'Comedy']",7.2
Angels and Insects,"['Drama', 'Romance']",6.3
Dunston Checks In,"['Adventure', 'Comedy', 'Family']",5.1
Black Sheep,['Comedy'],6.0
Mary Reilly,"['Drama', 'Horror', 'Thriller', 'Romance']",5.7
Vampire in Brooklyn,"['Comedy', 'Horror', 'Romance']",4.5
Beautiful Girls,"['Comedy', 'Drama', 'Romance']",6.6
Broken Arrow,"['Action', 'Adventure', 'Drama', 'Thriller']",5.7
A Midwinter's Tale,['Comedy'],7.5
La Haine,['Drama'],7.9
Shopping,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",5.6
Heidi Fleiss: Hollywood Madam,['Documentary'],6.8
City Hall,"['Drama', 'Thriller']",6.0
Bottle Rocket,"['Comedy', 'Crime', 'Drama']",6.8
Unforgettable,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",5.3
Happy Gilmore,['Comedy'],6.5
The Bridges of Madison County,"['Drama', 'Romance']",7.3
Muppet Treasure Island,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",6.5
Catwalk,['Documentary'],7.0
Braveheart,"['Action', 'Drama', 'History', 'War']",7.7
Taxi Driver,"['Crime', 'Drama']",8.1
Rumble in the Bronx,"['Crime', 'Action', 'Comedy', 'Thriller']",6.5
Before and After,"['Drama', 'Thriller']",5.8
Margaret's Museum,['Drama'],7.5
Anne Frank Remembered,"['Documentary', 'Drama', 'Foreign']",7.3
If Lucy Fell,"['Comedy', 'Romance']",5.4
Steal Big Steal Little,"['Comedy', 'Drama']",5.1
Race the Sun,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']",5.2
Boomerang,"['Comedy', 'Romance']",5.4
Chungking Express,"['Drama', 'Comedy', 'Romance']",7.9
The Star Maker,"['Drama', 'Romance']",6.8
Flirting with Disaster,"['Comedy', 'Romance']",6.3
The Neverending Story III: Escape from Fantasia,['Fantasy'],4.4
Pie in the Sky,"['Comedy', 'Romance']",7.0
Frankie Starlight,"['Drama', 'Romance', 'War']",5.4
Jade,"['Action', 'Thriller', 'Mystery', 'Romance']",5.1
Down Periscope,['Comedy'],5.6
Man of the Year,['Comedy'],3.8
Up Close & Personal,"['Drama', 'Romance']",5.9
The Birdcage,['Comedy'],6.7
The Brothers McMullen,"['Comedy', 'Drama', 'Romance']",6.3
Bad Boys,"['Action', 'Comedy', 'Crime', 'Thriller']",6.5
The Amazing Panda Adventure,"['Action', 'Adventure', 'Drama', 'Family']",5.0
The Basketball Diaries,"['Drama', 'Crime']",7.2
Amateur,"['Crime', 'Comedy', 'Drama', 'Thriller']",6.5
Apollo 13,['Drama'],7.3
Rob Roy,['Adventure'],6.5
The Addiction,"['Drama', 'Horror']",6.4
Batman Forever,"['Action', 'Crime', 'Fantasy']",5.2
Belle de Jour,"['Drama', 'Romance']",7.3
Beyond Rangoon,"['Drama', 'Thriller']",6.4
Blue in the Face,['Comedy'],6.8
Canadian Bacon,"['Action', 'Comedy']",5.9
Casper,"['Fantasy', 'Comedy', 'Family']",6.0
Clockers,"['Mystery', 'Crime', 'Drama']",6.8
Congo,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",5.0
Crimson Tide,"['Action', 'Thriller', 'Drama']",7.0
Crumb,['Documentary'],7.6
Desperado,"['Thriller', 'Action', 'Crime']",6.8
Devil in a Blue Dress,"['Drama', 'Mystery', 'Thriller']",6.3
Die Hard: With a Vengeance,"['Action', 'Thriller']",6.9
The Doom Generation,"['Action', 'Comedy', 'Crime', 'Drama']",5.6
Feast of July,"['Drama', 'Crime']",0.0
First Knight,"['Action', 'Adventure', 'Drama', 'Romance']",5.9
Free Willy 2 - The Adventure Home,['Adventure'],5.5
Hackers,"['Action', 'Crime', 'Thriller', 'Drama']",6.2
Jeffrey,"['Comedy', 'Drama', 'Romance']",6.5
Johnny Mnemonic,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",5.5
Judge Dredd,['Science Fiction'],5.4
Jury Duty,"['Comedy', 'Drama']",4.0
Living in Oblivion,"['Drama', 'Comedy']",7.2
Lord of Illusions,"['Mystery', 'Horror', 'Thriller']",5.9
Mad Love,"['Drama', 'Family', 'Romance']",5.5
Mallrats,"['Romance', 'Comedy']",6.8
Mighty Morphin Power Rangers: The Movie,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",5.2
Moonlight and Valentino,"['Comedy', 'Drama', 'Romance']",5.6
Mute Witness,"['Thriller', 'Foreign']",6.4
Nadja,"['Horror', 'Thriller']",5.9
The Net,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",5.6
Nine Months,['Comedy'],5.5
Party Girl,['Comedy'],5.8
The Prophecy,"['Fantasy', 'Horror', 'Thriller']",6.4
Reckless,"['Fantasy', 'Comedy', 'Drama']",10.0
Safe,['Drama'],7.2
The Scarlet Letter,"['Drama', 'History', 'Romance']",5.5
The Show,['Documentary'],5.3
Showgirls,['Drama'],4.9
Smoke,"['Comedy', 'Drama']",7.2
Something to Talk About,['Comedy'],5.7
Species,"['Science Fiction', 'Horror', 'Action']",5.5
Strange Days,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",6.8
The Umbrellas of Cherbourg,"['Drama', 'Romance']",7.6
Three Wishes,"['Drama', 'Fantasy']",6.1
Total Eclipse,"['Drama', 'Romance']",6.5
"To Wong Foo, Thanks for Everything! Julie Newmar",['Comedy'],6.3
Under Siege 2: Dark Territory,"['Action', 'Thriller']",5.6
Unstrung Heroes,"['Comedy', 'Drama', 'Family']",6.4
A Walk in the Clouds,"['Drama', 'Romance']",6.5
Waterworld,"['Adventure', 'Action']",5.9
White Man's Burden,['Drama'],5.1
Wild Bill,"['Action', 'Western']",5.9
The Browning Version,['Drama'],6.0
Bushwhacked,"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']",4.9
Burnt by the Sun,['Drama'],6.7
Before the Rain,"['Drama', 'War']",7.7
Before Sunrise,"['Drama', 'Romance']",7.7
Billy Madison,['Comedy'],6.2
The Babysitter,"['Drama', 'Thriller']",4.7
Boys on the Side,"['Comedy', 'Drama']",6.3
The Cure,"['Drama', 'Family']",7.2
Castle Freak,"['Thriller', 'Drama', 'Horror', 'Mystery']",5.8
Clerks,['Comedy'],7.4
Don Juan DeMarco,"['Romance', 'Drama', 'Comedy']",6.3
Disclosure,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",5.9
Drop Zone,"['Action', 'Adventure', 'Thriller']",5.1
Destiny Turns on the Radio,"['Crime', 'Comedy', 'Fantasy']",5.3
Death and the Maiden,"['Drama', 'Thriller', 'Mystery']",7.1
Dolores Claiborne,"['Crime', 'Drama', 'Mystery']",7.1
Dumb and Dumber,['Comedy'],6.5
Exotica,"['Drama', 'Mystery']",6.5
Exit to Eden,"['Thriller', 'Comedy', 'Crime', 'Romance']",4.3
Ed Wood,"['Comedy', 'Drama', 'History']",7.3
Far from Home: The Adventures of Yellow Dog,"['Action', 'Adventure', 'Drama', 'Family']",5.6
A Goofy Movie,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",6.7
Hideaway,"['Drama', 'Thriller']",5.0
Fluke,"['Drama', 'Family', 'Fantasy']",6.6
Farinelli,"['History', 'Drama']",5.9
Gordy,"['Drama', 'Family', 'Fantasy']",3.0
Gumby: The Movie,"['Fantasy', 'Animation', 'Science Fiction', 'Family']",5.0
The Glass Shield,"['Drama', 'Action', 'Thriller', 'Crime']",5.4
Hoop Dreams,['Documentary'],7.7
Heavenly Creatures,"['Drama', 'Fantasy']",6.9
Heavyweights,"['Comedy', 'Family', 'Drama']",6.0
The Hunted,"['Action', 'Thriller']",6.0
I.Q.,"['Comedy', 'Drama', 'Romance']",5.9
Interview with the Vampire,"['Horror', 'Romance']",7.2
Jefferson in Paris,"['Drama', 'Romance']",5.2
Junior,"['Comedy', 'Family', 'Romance']",4.7
Just Cause,"['Action', 'Drama', 'Mystery', 'Thriller']",6.0
A Kid in King Arthur's Court,"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']",4.3
Star Wars,"['Adventure', 'Action', 'Science Fiction']",8.1
Little Women,"['Drama', 'Romance']",7.0
A Little Princess,"['Drama', 'Family', 'Fantasy']",7.4
Like Water for Chocolate,"['Drama', 'Romance']",6.6
Legends of the Fall,"['Adventure', 'Drama', 'Romance', 'War']",7.2
Major Payne,"['Adventure', 'Comedy', 'Family']",6.1
Little Odessa,"['Action', 'Drama']",6.4
Mi Vida Loca,"['Crime', 'Drama']",5.7
Losing Isaiah,['Drama'],6.4
Mary Shelley's Frankenstein,"['Drama', 'Horror', 'Science Fiction', 'Romance']",6.1
Man of the House,"['Action', 'Comedy', 'Family']",5.1
Milk Money,"['Comedy', 'Romance']",5.6
Miracle on 34th Street,"['Fantasy', 'Drama', 'Family']",6.4
Miami Rhapsody,"['Comedy', 'Romance']",5.6
My Family,"['Comedy', 'Drama']",7.0
Murder in the First,"['Crime', 'Drama']",6.9
Nobody's Fool,"['Drama', 'Comedy']",7.0
Nell,"['Drama', 'Thriller']",6.1
New Jersey Drive,"['Crime', 'Drama']",6.9
New York Cop,"['Action', 'Thriller', 'Crime', 'Drama']",0.0
Beyond Bedlam,['Horror'],4.0
Nemesis 2 - Nebula,"['Science Fiction', 'Action', 'Thriller']",4.6
Nina Takes a Lover,"['Drama', 'Romance']",7.4
Natural Born Killers,"['Crime', 'Thriller', 'Drama']",6.9
Only You,"['Comedy', 'Drama', 'Romance']",6.4
Once Were Warriors,['Drama'],7.6
Poison Ivy II: Lily,"['Drama', 'Romance', 'Thriller']",4.6
Outbreak,"['Action', 'Drama', 'Science Fiction', 'Thriller']",6.4
Leon: The Professional,"['Thriller', 'Crime', 'Drama']",8.2
The Perez Family,"['Comedy', 'Drama', 'Romance']",6.6
Pulp Fiction,"['Thriller', 'Crime']",8.3
Panther,['Drama'],6.4
Priest,"['Drama', 'Romance']",6.4
Quiz Show,"['History', 'Drama']",7.1
The Quick and the Dead,"['Action', 'Western']",6.2
Prêt-à-Porter,"['Drama', 'Comedy']",5.3
Relative Fear,"['Horror', 'Drama']",4.7
The Swan Princess,['Animation'],6.5
The Secret of Roan Inish,"['Drama', 'Family', 'Fantasy']",6.1
The Specialist,"['Action', 'Thriller']",5.5
Stargate,"['Action', 'Adventure', 'Science Fiction']",6.8
The Santa Clause,"['Fantasy', 'Drama', 'Comedy', 'Family']",6.3
The Shawshank Redemption,"['Drama', 'Crime']",8.5
Shallow Grave,"['Crime', 'Thriller']",7.0
Suture,"['Drama', 'Thriller']",6.0
Swimming with Sharks,"['Crime', 'Comedy']",6.7
The Sum of Us,"['Comedy', 'Drama', 'Romance']",6.0
Senior Trip,['Comedy'],5.7
Tank Girl,"['Action', 'Comedy', 'Fantasy', 'Science Fiction']",5.5
Tales from the Crypt: Demon Knight,"['Horror', 'Comedy', 'Thriller']",6.7
Star Trek: Generations,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",6.4
Tales from the Hood,"['Crime', 'Horror', 'Thriller']",5.4
Tom & Viv,"['Drama', 'Romance']",5.8
Village of the Damned,"['Thriller', 'Horror', 'Science Fiction']",5.6
Tommy Boy,['Comedy'],6.8
The Underneath,"['Thriller', 'Crime']",5.6
The Walking Dead,"['Drama', 'War']",6.6
What's Eating Gilbert Grape,"['Romance', 'Drama']",7.5
Virtuosity,"['Action', 'Crime', 'Science Fiction', 'Thriller']",5.4
While You Were Sleeping,"['Comedy', 'Drama', 'Romance']",6.5
Double Happiness,"['Comedy', 'Romance']",5.5
Muriel's Wedding,"['Drama', 'Comedy', 'Romance']",6.9
The Baby-Sitters Club,"['Comedy', 'Drama', 'Family']",5.3
Ace Ventura: Pet Detective,"['Comedy', 'Mystery']",6.4
"The Adventures of Priscilla, Queen of the Desert","['Drama', 'Comedy']",7.2
Bitter Moon,"['Thriller', 'Drama', 'Romance']",7.0
Clear and Present Danger,"['Action', 'Drama', 'Thriller']",6.4
The Client,"['Drama', 'Thriller', 'Crime', 'Mystery']",6.4
The Crow,"['Fantasy', 'Action', 'Thriller']",7.3
Cobb,['Drama'],6.1
The Flintstones,"['Fantasy', 'Comedy', 'Family']",5.0
Forrest Gump,"['Comedy', 'Drama', 'Romance']",8.2
Four Weddings and a Funeral,"['Comedy', 'Drama', 'Romance']",6.6
I Like It Like That,"['Comedy', 'Drama', 'Romance']",6.3
I Love Trouble,"['Action', 'Comedy', 'Romance']",5.3
It Could Happen to You,"['Comedy', 'Drama', 'Romance']",6.1
The Lion King,"['Family', 'Animation', 'Drama']",8.0
Little Buddha,"['Drama', 'History']",6.0
New Nightmare,"['Horror', 'Thriller', 'Mystery', 'Fantasy']",6.4
The Mask,"['Romance', 'Comedy', 'Crime', 'Fantasy']",6.6
Maverick,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",6.6
Mrs. Parker and the Vicious Circle,['Drama'],6.3
The Naked Gun 33⅓: The Final Insult,"['Comedy', 'Crime']",6.4
The Paper,"['Comedy', 'Drama']",6.1
Reality Bites,['Drama'],6.5
Red Rock West,"['Crime', 'Drama', 'Thriller']",6.4
Ri¢hie Ri¢h,"['Comedy', 'Family']",5.4
Safe Passage,['Drama'],4.9
The River Wild,"['Action', 'Adventure', 'Crime', 'Thriller']",6.1
Speed,"['Action', 'Adventure', 'Crime']",6.8
Speechless,"['Comedy', 'Romance']",5.5
Timecop,"['Thriller', 'Science Fiction', 'Action', 'Crime']",5.5
True Lies,"['Action', 'Thriller']",6.8
When a Man Loves a Woman,"['Drama', 'Romance']",6.0
Wolf,['Fantasy'],6.0
Wyatt Earp,"['Drama', 'Action', 'Western']",6.5
Bad Company,"['Action', 'Crime', 'Romance', 'Thriller']",4.9
A Man of No Importance,"['Comedy', 'Drama']",6.5
S.F.W.,"['Comedy', 'Drama']",6.1
A Low Down Dirty Shame,"['Action', 'Comedy', 'Crime']",6.0
"Boys Life: Three Stories of Love, Lust, and Liberation",['Drama'],2.0
"Faster, Pussycat! Kill! Kill!","['Action', 'Crime']",6.5
Jason's Lyric,"['Crime', 'Drama', 'Romance']",5.9
The Secret Adventures of Tom Thumb,"['Animation', 'Science Fiction']",7.1
Street Fighter,"['Action', 'Adventure', 'Thriller']",4.1
Fall Time,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",6.3
The Fear,"['Horror', 'Thriller']",3.4
Girl in the Cadillac,"['Romance', 'Adventure', 'Crime', 'Drama']",10.0
Homage,"['Thriller', 'Drama']",0.0
Mirage,"['Action', 'Thriller']",4.0
Highlander: The Final Dimension,"['Action', 'Fantasy', 'Science Fiction']",4.5
In the Mouth of Madness,"['Horror', 'Mystery', 'Thriller']",7.1
8 Seconds,"['Drama', 'Romance']",7.2
Above the Rim,"['Crime', 'Drama']",6.7
Addams Family Values,"['Comedy', 'Family', 'Fantasy']",6.5
Martin Lawrence: You So Crazy,['Comedy'],4.5
The Age of Innocence,"['Drama', 'Romance']",7.0
Airheads,"['Comedy', 'Crime', 'Music']",5.8
Another Stakeout,"['Action', 'Comedy']",4.9
Bad Girls,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",4.6
Barcelona,"['Comedy', 'Drama', 'Romance']",6.6
Being Human,"['Drama', 'Comedy', 'Fantasy']",5.0
The Beverly Hillbillies,['Comedy'],5.0
Blink,"['Mystery', 'Crime', 'Drama', 'Thriller']",6.3
Blown Away,"['Drama', 'Action', 'Thriller']",6.0
Blue Sky,"['Drama', 'Romance']",6.1
Body Snatchers,"['Horror', 'Science Fiction', 'Thriller']",5.8
Boxing Helena,"['Drama', 'Romance']",4.5
A Bronx Tale,"['Drama', 'Crime']",7.4
Cabin Boy,['Comedy'],4.9
Calendar Girl,"['Drama', 'Comedy']",3.7
Carlito's Way,"['Action', 'Crime', 'Drama', 'Thriller']",7.7
Cliffhanger,"['Action', 'Adventure', 'Thriller']",6.1
Coneheads,"['Comedy', 'Science Fiction', 'Family']",4.8
Color of Night,"['Drama', 'Mystery', 'Romance', 'Thriller']",5.4
Dangerous Game,['Drama'],5.4
Dave,['Comedy'],6.3
Dazed and Confused,"['Comedy', 'Drama']",7.4
Demolition Man,"['Crime', 'Action', 'Science Fiction']",6.4
Fatal Instinct,['Comedy'],5.4
The Favor,"['Drama', 'Comedy', 'Romance']",3.3
Fearless,['Drama'],6.8
Fear of a Black Hat,['Comedy'],5.8
With Honors,"['Comedy', 'Drama']",6.1
Flesh and Bone,"['Drama', 'Mystery', 'Romance']",6.2
For Love or Money,"['Comedy', 'Romance']",5.7
The Firm,"['Drama', 'Mystery', 'Thriller']",6.6
Free Willy,"['Family', 'Adventure']",6.0
The Fugitive,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']",7.2
Geronimo: An American Legend,"['History', 'Action', 'Drama', 'Western']",5.9
Getting Even with Dad,"['Family', 'Comedy', 'Crime']",4.5
Go Fish,"['Drama', 'Romance']",3.9
Guilty as Sin,"['Drama', 'Thriller']",5.6
Hard Target,"['Action', 'Adventure', 'Crime', 'Thriller']",6.1
Heaven & Earth,"['History', 'War', 'Action', 'Drama']",6.4
Hot Shots! Part Deux,"['Action', 'Comedy', 'War']",6.2
Live Nude Girls,['Comedy'],4.7
House Party 3,['Comedy'],4.6
The Hudsucker Proxy,"['Comedy', 'Drama']",7.1
In the Army Now,['Comedy'],4.7
In the Line of Fire,"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']",6.8
In the Name of the Father,['Drama'],7.6
The Inkwell,"['Comedy', 'Drama', 'Romance']",3.9
What's Love Got to Do with It,"['Drama', 'Music']",6.9
Judgment Night,"['Action', 'Thriller', 'Crime']",6.4
Jurassic Park,"['Adventure', 'Science Fiction']",7.6
Kalifornia,"['Thriller', 'Crime']",6.5
King of the Hill,['Drama'],6.4
Lassie,"['Action', 'Adventure', 'Drama', 'Family']",6.1
Last Action Hero,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",6.1
Life With Mikey,"['Comedy', 'Family']",5.1
Made in America,['Comedy'],5.3
Malice,"['Drama', 'Crime']",5.9
The Man without a Face,['Drama'],6.2
Manhattan Murder Mystery,"['Comedy', 'Mystery']",7.1
Menace II Society,"['Drama', 'Action', 'Crime']",7.2
Executive Decision,"['Action', 'Adventure', 'Drama', 'Thriller']",5.8
Much Ado About Nothing,"['Drama', 'Comedy', 'Romance']",7.2
Mr. Jones,"['Drama', 'Romance']",5.9
Mr. Wonderful,"['Comedy', 'Romance']",5.5
Mrs. Doubtfire,"['Comedy', 'Drama', 'Family']",7.0
The Next Karate Kid,['Adventure'],4.8
The New Age,"['Comedy', 'Drama']",4.8
No Escape,"['Action', 'Drama', 'Science Fiction', 'Thriller']",6.1
North,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Science Fiction']",4.8
Philadelphia,['Drama'],7.6
Poetic Justice,"['Drama', 'Romance']",6.9
The Program,['Drama'],6.0
The Puppet Masters,"['Horror', 'Science Fiction', 'Thriller']",5.6
Radioland Murders,"['Comedy', 'Crime', 'Drama', 'Music', 'Mystery', 'Romance']",5.8
The Ref,['Comedy'],6.7
The Remains of the Day,"['Drama', 'Romance']",7.5
Renaissance Man,"['Comedy', 'War']",5.9
Rising Sun,"['Action', 'Drama', 'Thriller']",5.8
The Road to Wellville,"['Comedy', 'Romance']",5.5
RoboCop 3,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']",4.2
Robin Hood: Men in Tights,['Comedy'],6.4
Romeo Is Bleeding,"['Action', 'Crime', 'Drama', 'Thriller']",5.7
Romper Stomper,"['Action', 'Drama', 'Thriller']",6.6
Ruby in Paradise,"['Drama', 'Romance']",5.6
Rudy,['Drama'],7.2
Schindler's List,"['Drama', 'History', 'War']",8.3
The Scout,"['Comedy', 'Drama']",5.3
Searching for Bobby Fischer,['Drama'],7.3
The Secret Garden,"['Drama', 'Family', 'Fantasy']",7.1
Serial Mom,"['Comedy', 'Crime', 'Horror', 'Thriller']",6.4
The Shadow,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",5.4
Short Cuts,"['Comedy', 'Drama']",6.9
A Simple Twist of Fate,"['Drama', 'Family']",5.7
Sirens,"['Comedy', 'Drama']",5.2
Six Degrees of Separation,"['Mystery', 'Drama', 'Comedy']",6.5
Sleepless in Seattle,"['Comedy', 'Drama', 'Romance']",6.5
Sliver,"['Drama', 'Thriller']",4.9
Blade Runner,"['Science Fiction', 'Drama', 'Thriller']",7.9
Son in Law,"['Comedy', 'Drama', 'Romance']",5.6
So I Married an Axe Murderer,"['Comedy', 'Crime', 'Romance']",6.1
Striking Distance,"['Crime', 'Action', 'Mystery', 'Thriller']",5.4
Super Mario Bros.,"['Adventure', 'Comedy', 'Family', 'Fantasy']",4.0
Surviving the Game,"['Action', 'Adventure', 'Thriller', 'Crime']",6.1
Terminal Velocity,"['Action', 'Thriller']",5.0
Thirty Two Short Films About Glenn Gould,"['Drama', 'Music']",7.4
Threesome,"['Comedy', 'Drama', 'Family', 'Romance']",6.3
The Nightmare Before Christmas,"['Fantasy', 'Animation', 'Family']",7.6
The Three Musketeers,"['Action', 'Adventure', 'Comedy']",6.2
Tombstone,"['Action', 'Adventure', 'Drama', 'History', 'Western']",7.4
Trial by Jury,"['Drama', 'Action', 'Thriller']",5.5
True Romance,"['Action', 'Thriller', 'Crime', 'Romance']",7.5
The War Room,"['Documentary', 'History']",7.3
The Pagemaster,"['Fantasy', 'Science Fiction', 'Family', 'Animation']",6.2
Killer,"['Thriller', 'Drama', 'Romance']",3.0
Welcome to the Dollhouse,"['Comedy', 'Drama']",6.9
Germinal,"['Drama', 'Romance']",6.3
Chasers,"['Comedy', 'Romance']",4.7
Little Big League,"['Comedy', 'Family']",6.0
The Slingshot,['Drama'],6.2
"Ciao, Professore!","['Comedy', 'Foreign']",7.2
Spanking the Monkey,"['Comedy', 'Drama']",5.3
The Little Rascals,"['Romance', 'Comedy', 'Family']",6.3
Andre,"['Drama', 'Family', 'Adventure']",5.0
Princess Caraboo,"['Comedy', 'Drama', 'History', 'Mystery']",4.4
Home Alone,"['Comedy', 'Family']",7.1
Ghost,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",6.9
Aladdin,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']",7.4
Terminator 2: Judgment Day,"['Action', 'Thriller', 'Science Fiction']",7.7
Dances with Wolves,"['Adventure', 'Drama', 'Western']",7.6
Tough and Deadly,"['Thriller', 'Action', 'Drama']",6.3
Batman,"['Fantasy', 'Action']",7.0
The Silence of the Lambs,"['Crime', 'Drama', 'Thriller']",8.1
Snow White and the Seven Dwarfs,"['Fantasy', 'Animation', 'Family']",6.9
Beauty and the Beast,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']",7.5
Pinocchio,"['Animation', 'Family']",6.9
Pretty Woman,"['Romance', 'Comedy']",7.0
The Wild Bunch,"['Adventure', 'Western']",7.7
Love and a .45,"['Crime', 'Thriller']",5.5
The Wooden Man's Bride,"['Drama', 'Foreign', 'Romance']",6.5
One Fine Day,"['Comedy', 'Romance']",6.1
Candyman: Farewell to the Flesh,['Horror'],5.0
Fargo,"['Crime', 'Drama', 'Thriller']",7.7
Homeward Bound II: Lost in San Francisco,"['Adventure', 'Comedy', 'Drama', 'Family']",6.0
Heavy Metal,"['Animation', 'Science Fiction']",6.3
Hellraiser: Bloodline,"['Horror', 'Thriller', 'Science Fiction']",4.9
The Pallbearer,"['Comedy', 'Romance']",4.6
Jane Eyre,"['Drama', 'Romance']",7.1
Bread and Chocolate,"['Comedy', 'Foreign']",7.1
The Aristocats,"['Animation', 'Comedy', 'Family', 'Adventure']",7.1
The Flower of My Secret,"['Drama', 'Romance']",6.9
Ed,"['Comedy', 'Family']",3.6
Scream of Stone,"['Adventure', 'Drama', 'Documentary']",7.5
A Thin Line Between Love and Hate,"['Comedy', 'Thriller', 'Crime', 'Romance']",5.7
The Last Supper,"['Comedy', 'Thriller', 'Crime', 'Drama']",6.5
Primal Fear,"['Crime', 'Drama', 'Mystery', 'Thriller']",7.4
